# Flight Simulation Results - CJ Tamarack
# Route: KSZT to KSAN
# Initial Fuel: 3440 lb
# Payload: 0 lb
# Cruise Altitude: 41000 ft
# Winds/Temps Source: No Wind
# Approach VAPP: 111.2 kts
# Approach VREF: 85.5 kts
# Generated: 2025-11-06 13:59:24
# Original Data Points: 1734
# Sampled Data Points (5-sec intervals): 1734
# Time Range: 0 - 9965 seconds
# Exact 5-second intervals, no skipped rows
# 
Time (s),Segment,Altitude (ft),Distance (NM),VKTAS (kts),VKIAS (kts),ROC (fpm),Thrust (lb),Drag (lb),Weight (lb),Fuel Remaining (lb),Fuel Flow (lb/hr),Mach,Gradient (%),VAPP (kts),VREF (kts)
1275,5,34349,86.9,295,170,820,1179,742,9432,2854,850,0.51,4.6,,
1280,5,34417,87.3,295,170,817,1176,740,9431,2852,847,0.51,4.6,,
1285,5,34485,87.8,295,170,814,1172,738,9430,2851,845,0.51,4.6,,
1290,5,34553,88.2,295,169,811,1169,737,9429,2850,843,0.51,4.6,,
1295,5,34621,88.6,294,169,808,1166,735,9428,2849,841,0.51,4.6,,
1300,5,34688,89.0,294,169,805,1163,734,9426,2848,838,0.51,4.6,,
1305,5,34755,89.4,294,169,802,1160,732,9425,2847,836,0.51,4.5,,
1310,5,34821,89.8,294,168,799,1157,731,9424,2845,834,0.51,4.5,,
1315,5,34888,90.2,294,168,796,1154,729,9423,2844,832,0.51,4.5,,
1320,5,34954,90.6,294,168,793,1151,728,9422,2843,829,0.51,4.5,,
1325,5,35020,91.0,294,167,790,1148,726,9421,2842,827,0.51,4.5,,
1330,5,35086,91.4,294,167,787,1145,725,9420,2841,825,0.51,4.5,,
1335,5,35151,91.8,294,167,784,1142,723,9418,2840,823,0.51,4.4,,
1340,5,35216,92.2,294,167,781,1139,722,9417,2839,821,0.51,4.4,,
1345,5,35281,92.7,294,166,778,1136,720,9416,2837,819,0.51,4.4,,
1350,5,35346,93.1,294,166,775,1133,719,9415,2836,816,0.51,4.4,,
1355,5,35410,93.5,293,166,772,1130,717,9414,2835,814,0.51,4.4,,
1360,5,35474,93.9,293,166,769,1127,716,9413,2834,812,0.51,4.4,,
1365,5,35538,94.3,293,165,765,1124,715,9412,2833,810,0.51,4.4,,
1370,5,35602,94.7,293,165,762,1121,713,9410,2832,808,0.51,4.3,,
1375,5,35665,95.1,293,165,759,1118,712,9409,2831,806,0.51,4.3,,
1380,5,35728,95.5,293,165,756,1115,710,9408,2830,804,0.51,4.3,,
1385,5,35791,95.9,293,164,753,1112,709,9407,2828,802,0.51,4.3,,
1390,5,35854,96.3,293,164,750,1109,708,9406,2827,800,0.51,4.3,,
1395,5,35916,96.7,293,164,747,1106,706,9405,2826,797,0.51,4.3,,
1400,5,35978,97.1,293,164,744,1104,705,9404,2825,795,0.51,4.2,,
1405,5,36040,97.5,293,164,741,1101,704,9403,2824,793,0.51,4.2,,
1410,5,36102,97.9,292,163,738,1098,702,9402,2823,791,0.51,4.2,,
1415,5,36163,98.4,292,163,735,1095,702,9401,2822,789,0.51,4.2,,
1420,5,36224,98.8,292,163,732,1092,700,9399,2821,787,0.51,4.2,,
1425,5,36285,99.2,292,163,729,1090,699,9398,2820,785,0.51,4.2,,
1430,5,36346,99.6,292,162,726,1087,698,9397,2819,783,0.51,4.1,,
1435,5,36406,100.0,292,162,724,1084,697,9396,2818,781,0.51,4.1,,
1440,5,36466,100.4,292,162,721,1081,695,9395,2816,779,0.51,4.1,,
1445,5,36526,100.8,292,162,718,1078,694,9394,2815,777,0.51,4.1,,
1450,5,36586,101.2,292,162,715,1076,693,9393,2814,775,0.51,4.1,,
1455,5,36645,101.6,292,161,712,1073,692,9392,2813,773,0.51,4.1,,
1460,5,36704,102.0,292,161,710,1070,691,9391,2812,771,0.51,4.0,,
1465,5,36763,102.4,292,161,707,1068,689,9390,2811,769,0.51,4.0,,
